epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1470.79,0.3414,0.85283,1,0.33699,0.000554986,0.000554986,0.000554986
2,2039.27,0.26775,0.90888,1,0.23178,0.0010007,0.0010007,0.0010007
3,2627.99,0.2434,0.93982,1,0.16027,0.00133639,0.00133639,0.00133639
4,3123.85,0.22904,0.94594,1,0.14564,0.0011719,0.0011719,0.0011719
5,3662.22,0.20357,0.94839,1,0.14185,0.00100687,0.00100687,0.00100687
6,4203.4,0.18986,0.94962,1,0.13252,0.000841835,0.000841835,0.000841835
7,4743.32,0.17835,0.94181,1,0.14988,0.000676802,0.000676802,0.000676802
8,5283.42,0.16346,0.95528,1,0.11894,0.000511769,0.000511769,0.000511769
9,5823.13,0.14977,0.95482,1,0.13393,0.000346736,0.000346736,0.000346736
10,7468.47,0.13609,0.96034,1,0.11063,0.000181703,0.000181703,0.000181703
